Lab,Num,INF wc
Chen,1,0.930
Chen,2,0.732
DasLab,2,0.837
Das,2,0.837
RNAComposer,3,0.668
Adamiak,5,0.651
Chen,4,0.830
Bujnicki,2,0.655
DasLab,5,0.786
Das,5,0.786
RNAComposer,2,0.683
DasLab,4,0.837
Das,4,0.837
LeeServer,2,0.563
Adamiak,1,0.668
RNAComposer,5,0.683
Adamiak,4,0.714
DasLab,3,0.878
Das,3,0.878
RNAComposer,4,0.668
LeeServer,4,0.676
3dRNA,4,0.601
3dRNA,2,0.634
Bujnicki,1,0.655
SimRNA,3,0.349
Adamiak,3,0.651
SimRNA,2,0.884
SimRNA,1,0.651
Bujnicki,4,0.624
Ding,1,0.683
3dRNA,5,0.635
3dRNA,1,0.582
LeeServer,1,0.669
DasLab,1,0.819
Das,1,0.819
Chen,3,0.732
3dRNA,3,0.619
RNAComposer,1,0.714
RW3D,5,0.233
Bujnicki,3,0.891
RW3D,4,0.238
Ding,2,0.651
LeeServer,5,0.688
RW3D,2,0.238
Bujnicki,5,0.642
RW3D,6,0.233
Dokholyan,1,0.683
RW3D,1,0.228
RW3D,8,0.244
Adamiak,2,0.714
RW3D,3,0.233
Ding,3,0.619
RW3D,7,0.233
Ding,4,0.327
RW3D,10,0.244
RW3D,9,0.238
LeeServer,3,0.634
Ding,5,0.378
Chen,5,0.327
