Lab,Num,DI all
TFN,3,17.145
Adamiak,2,23.364
RNAComposer,1,24.152
Bujnicki,4,27.568
RNAComposer,5,28.591
SimRNA,2,34.036
FARFAR2,3,26.843
iFoldRNA,4,34.088
TFN,10,27.716
Adamiak,3,29.913
RNAComposer,4,33.397
TFN,1,31.089
RNAComposer,3,36.203
Bujnicki,3,37.051
SimRNA,1,40.883
SimRNA,4,41.347
RNAComposer,2,35.008
Bujnicki,5,38.642
iFoldRNA,3,44.259
Adamiak,5,36.422
Das,10,34.193
FARFAR2,8,34.193
SimRNA,5,45.381
TFN,9,35.012
Xiao,2,53.803
Bujnicki,2,41.139
FARFAR2,1,35.466
FARFAR2,10,35.621
TFN,5,35.459
FARFAR2,2,35.464
TFN,7,37.299
Das,1,37.085
Adamiak,1,38.577
Das,8,37.896
Adamiak,4,39.251
Das,7,37.573
TFN,6,37.241
Das,4,37.556
Das,3,37.211
iFoldRNA,2,47.185
Xiao,3,55.738
Das,6,38.792
TFN,4,39.102
Xiao,5,47.326
Xiao,4,56.693
Xiao,1,58.922
Das,5,38.294
SimRNA,3,49.647
Chen,6,41.652
TFN,8,39.971
Das,9,39.857
Chen,5,42.605
FARFAR2,4,41.148
Bujnicki,1,46.482
iFoldRNA,1,53.406
Ding,1,50.921
Chen,4,42.101
FARFAR2,7,41.389
FARFAR2,9,43.014
FARFAR2,5,41.950
Chen,3,44.342
Das,2,43.497
FARFAR2,6,43.497
iFoldRNA,5,56.507
TFN,2,43.007
Chen,10,46.490
Chen,9,47.309
Chen,7,46.832
Chen,1,49.438
Chen,2,47.062
Chen,8,49.115
Ding,2,55.068
