Lab,Num,INF wc
TFN,3,0.936
Adamiak,2,0.936
RNAComposer,1,0.955
Bujnicki,4,0.839
RNAComposer,5,0.946
SimRNA,2,0.761
FARFAR2,3,0.927
iFoldRNA,4,0.764
TFN,10,0.918
Adamiak,3,0.946
RNAComposer,4,0.946
TFN,1,0.918
RNAComposer,3,0.936
Bujnicki,3,0.852
SimRNA,1,0.814
SimRNA,4,0.768
RNAComposer,2,0.946
Bujnicki,5,0.857
iFoldRNA,3,0.775
Adamiak,5,0.955
Das,10,0.936
FARFAR2,8,0.936
SimRNA,5,0.794
TFN,9,0.927
Xiao,2,0.461
Bujnicki,2,0.826
FARFAR2,1,0.936
FARFAR2,10,0.936
TFN,5,0.927
FARFAR2,2,0.936
TFN,7,0.908
Das,1,0.927
Adamiak,1,0.946
Das,8,0.927
Adamiak,4,0.927
Das,7,0.936
TFN,6,0.927
Das,4,0.927
Das,3,0.936
iFoldRNA,2,0.802
Xiao,3,0.497
Das,6,0.927
TFN,4,0.909
Xiao,5,0.782
Xiao,4,0.565
Xiao,1,0.461
Das,5,0.936
SimRNA,3,0.804
Chen,6,0.897
TFN,8,0.927
Das,9,0.936
Chen,5,0.945
FARFAR2,4,0.936
Bujnicki,1,0.832
iFoldRNA,1,0.702
Ding,1,0.829
Chen,4,0.964
FARFAR2,7,0.919
FARFAR2,9,0.936
FARFAR2,5,0.936
Chen,3,0.945
Das,2,0.927
FARFAR2,6,0.927
iFoldRNA,5,0.775
TFN,2,0.927
Chen,10,0.945
Chen,9,0.954
Chen,7,0.926
Chen,1,0.935
Chen,2,0.954
Chen,8,0.897
Ding,2,0.881
