Lab,Num,P-value
TFN,3,0.00e+00
Adamiak,2,0.00e+00
RNAComposer,1,0.00e+00
Bujnicki,4,0.00e+00
RNAComposer,5,0.00e+00
SimRNA,2,0.00e+00
FARFAR2,3,0.00e+00
iFoldRNA,4,0.00e+00
TFN,10,0.00e+00
Adamiak,3,0.00e+00
RNAComposer,4,0.00e+00
TFN,1,0.00e+00
RNAComposer,3,1.59e-14
Bujnicki,3,2.47e-13
SimRNA,1,9.28e-13
SimRNA,4,3.50e-12
RNAComposer,2,3.91e-12
Bujnicki,5,5.92e-12
iFoldRNA,3,6.05e-12
Adamiak,5,2.49e-11
Das,10,4.84e-11
FARFAR2,8,4.84e-11
SimRNA,5,1.24e-10
TFN,9,1.27e-10
Xiao,2,3.66e-10
Bujnicki,2,4.23e-10
FARFAR2,1,1.57e-09
FARFAR2,10,2.54e-09
TFN,5,3.54e-09
FARFAR2,2,5.86e-09
TFN,7,1.51e-08
Das,1,3.98e-08
Adamiak,1,6.11e-08
Das,8,6.18e-08
Adamiak,4,7.21e-08
Das,7,1.32e-07
TFN,6,1.99e-07
Das,4,2.49e-07
Das,3,2.53e-07
iFoldRNA,2,4.27e-07
Xiao,3,4.81e-07
Das,6,5.27e-07
TFN,4,9.46e-07
Xiao,5,1.67e-06
Xiao,4,2.78e-06
Xiao,1,5.58e-06
Das,5,6.38e-06
SimRNA,3,7.15e-06
Chen,6,9.09e-06
TFN,8,1.84e-05
Das,9,2.18e-05
Chen,5,1.24e-04
FARFAR2,4,1.40e-04
Bujnicki,1,1.56e-04
iFoldRNA,1,2.51e-04
Ding,1,3.22e-04
Chen,4,3.25e-04
FARFAR2,7,4.97e-04
FARFAR2,9,1.10e-03
FARFAR2,5,1.56e-03
Chen,3,1.76e-03
Das,2,2.21e-03
FARFAR2,6,2.21e-03
iFoldRNA,5,2.85e-03
TFN,2,6.24e-03
Chen,10,2.83e-02
Chen,9,6.65e-02
Chen,7,8.22e-02
Chen,1,1.22e-01
Chen,2,1.44e-01
Chen,8,2.28e-01
Ding,2,2.83e-01
