target,metric,gsp_models_total,metric_file_exists,metric_rows_total,metric_valid_values,metric_invalid_values,missing_models_count
CR1107,RMSD,180,True,180,180,0,0
CR1107,DI_all,180,True,180,180,0,0
CR1107,INF_all,180,True,180,180,0,0
CR1107,INF_wc,180,True,180,180,0,0
CR1107,INF_nwc,180,True,180,180,0,0
CR1107,INF_stacking,180,True,180,180,0,0
CR1107,Clash_Score,180,True,180,180,0,0
CR1107,P-value,180,True,180,180,0,0
CR1107,mcq,180,True,180,180,0,0
CR1107,TM-score,180,True,180,180,0,0
CR1108,RMSD,163,True,163,163,0,0
CR1108,DI_all,163,True,163,163,0,0
CR1108,INF_all,163,True,163,163,0,0
CR1108,INF_wc,163,True,163,163,0,0
CR1108,INF_nwc,163,True,163,163,0,0
CR1108,INF_stacking,163,True,163,163,0,0
CR1108,Clash_Score,163,True,163,163,0,0
CR1108,P-value,163,True,163,163,0,0
CR1108,mcq,163,True,163,163,0,0
CR1108,TM-score,163,True,163,163,0,0
CR1116,RMSD,145,True,145,145,0,0
CR1116,DI_all,145,True,145,145,0,0
CR1116,INF_all,145,True,145,145,0,0
CR1116,INF_wc,145,True,145,145,0,0
CR1116,INF_nwc,145,True,145,145,0,0
CR1116,INF_stacking,145,True,145,145,0,0
CR1116,Clash_Score,145,True,145,145,0,0
CR1116,P-value,145,True,145,145,0,0
CR1116,mcq,145,True,145,145,0,0
CR1116,TM-score,145,True,145,145,0,0
CR1117,RMSD,153,True,153,153,0,0
CR1117,DI_all,153,True,153,153,0,0
CR1117,INF_all,153,True,153,153,0,0
CR1117,INF_wc,153,True,153,153,0,0
CR1117,INF_nwc,153,True,153,153,0,0
CR1117,INF_stacking,153,True,153,153,0,0
CR1117,Clash_Score,153,True,153,153,0,0
CR1117,P-value,153,True,153,153,0,0
CR1117,mcq,153,True,153,153,0,0
CR1117,TM-score,153,True,153,153,0,0
CR1126,RMSD,140,True,140,140,0,0
CR1126,DI_all,140,True,140,140,0,0
CR1126,INF_all,140,True,140,140,0,0
CR1126,INF_wc,140,True,140,140,0,0
CR1126,INF_nwc,140,True,140,140,0,0
CR1126,INF_stacking,140,True,140,140,0,0
CR1126,Clash_Score,140,True,140,140,0,0
CR1126,P-value,140,True,140,140,0,0
CR1126,mcq,140,True,140,140,0,0
CR1126,TM-score,140,True,140,140,0,0
CR1128,RMSD,137,True,137,137,0,0
CR1128,DI_all,137,True,137,137,0,0
CR1128,INF_all,137,True,137,137,0,0
