Lab,Num,Clash Score
TFN,2,21.770
Das,7,16.940
Das,5,18.550
Das,1,17.340
FARFAR2,2,20.160
Das,8,21.370
Das,3,19.350
FARFAR2,5,19.760
RNAComposer,2,10.080
FARFAR2,1,19.760
RNAComposer,3,15.320
FARFAR2,7,17.340
TFN,5,20.560
TFN,3,20.560
TFN,4,20.560
FARFAR2,4,20.560
TFN,8,21.370
TFN,1,21.780
TFN,10,19.350
TFN,7,20.970
TFN,9,17.340
FARFAR2,10,26.210
Das,2,16.530
FARFAR2,6,16.530
FARFAR2,3,18.950
Das,10,26.210
FARFAR2,8,26.210
TFN,6,18.950
Das,9,20.970
Chen,5,1.610
Das,4,16.940
FARFAR2,9,24.600
RNAComposer,4,10.480
Bujnicki,1,4.030
Chen,4,4.440
Das,6,17.740
Bujnicki,3,3.230
Chen,2,2.820
Chen,1,3.630
RNAComposer,1,10.480
Bujnicki,4,5.240
Chen,10,3.630
Xiao,1,14.930
Xiao,2,14.930
Xiao,3,14.930
Xiao,4,14.930
Xiao,5,14.930
Chen,6,3.630
Chen,3,2.020
Bujnicki,5,10.890
Chen,9,5.250
Chen,8,1.610
Chen,7,5.240
Ding,2,6.050
Adamiak,2,13.310
RNAComposer,5,16.940
Bujnicki,2,11.680
Adamiak,3,10.890
Adamiak,5,8.060
Ding,1,10.890
Adamiak,4,8.870
Adamiak,1,10.480
iFoldRNA,3,180.570
iFoldRNA,2,105.600
iFoldRNA,5,108.250
iFoldRNA,1,134.620
iFoldRNA,4,139.400
SimRNA,1,138.470
SimRNA,2,109.230
SimRNA,3,135.480
SimRNA,5,123.240
SimRNA,4,164.440
