Lab,Num,TM-score
TFN,2,0.7020
Das,7,0.7070
Das,5,0.7040
Das,1,0.6850
FARFAR2,2,0.7020
Das,8,0.6990
Das,3,0.6840
FARFAR2,5,0.6770
RNAComposer,2,0.5970
FARFAR2,1,0.7030
RNAComposer,3,0.6390
FARFAR2,7,0.6780
TFN,5,0.6700
TFN,3,0.6950
TFN,4,0.6740
FARFAR2,4,0.6860
TFN,8,0.6660
TFN,1,0.6810
TFN,10,0.6710
TFN,7,0.6620
TFN,9,0.6840
FARFAR2,10,0.6710
Das,2,0.6660
FARFAR2,6,0.6660
FARFAR2,3,0.6780
Das,10,0.6690
FARFAR2,8,0.6690
TFN,6,0.6610
Das,9,0.6660
Chen,5,0.6120
Das,4,0.6830
FARFAR2,9,0.6730
RNAComposer,4,0.5340
Bujnicki,1,0.6640
Chen,4,0.6170
Das,6,0.6640
Bujnicki,3,0.6620
Chen,2,0.6230
Chen,1,0.6160
RNAComposer,1,0.5120
Bujnicki,4,0.6580
Chen,10,0.6180
Xiao,1,0.6660
Xiao,2,0.6660
Xiao,3,0.6660
Xiao,4,0.6660
Xiao,5,0.6660
Chen,6,0.6180
Chen,3,0.6310
Bujnicki,5,0.6590
Chen,9,0.6300
Chen,8,0.6100
Chen,7,0.6280
Ding,2,0.3570
Adamiak,2,0.4500
RNAComposer,5,0.3960
Bujnicki,2,0.6570
Adamiak,3,0.4270
Adamiak,5,0.4550
Ding,1,0.3790
Adamiak,4,0.4190
Adamiak,1,0.4520
iFoldRNA,3,0.3060
iFoldRNA,2,0.2860
iFoldRNA,5,0.2490
iFoldRNA,1,0.2210
iFoldRNA,4,0.2950
SimRNA,1,0.2520
SimRNA,2,0.2810
SimRNA,3,0.2490
SimRNA,5,0.1780
SimRNA,4,0.2120
