Lab,Num,DI all
TFN,2,3.260
Das,7,3.334
Das,5,3.469
Das,1,3.638
FARFAR2,2,3.671
Das,8,3.713
Das,3,3.687
FARFAR2,5,3.709
RNAComposer,2,3.820
FARFAR2,1,3.735
RNAComposer,3,4.176
FARFAR2,7,3.817
TFN,5,3.813
TFN,3,3.955
TFN,4,4.291
FARFAR2,4,4.308
TFN,8,4.320
TFN,1,4.410
TFN,10,4.389
TFN,7,4.616
TFN,9,4.640
FARFAR2,10,4.622
Das,2,4.833
FARFAR2,6,4.833
FARFAR2,3,4.853
Das,10,4.764
FARFAR2,8,4.764
TFN,6,4.737
Das,9,4.937
Chen,5,4.733
Das,4,5.074
FARFAR2,9,5.189
RNAComposer,4,5.795
Bujnicki,1,5.642
Chen,4,5.184
Das,6,5.628
Bujnicki,3,6.110
Chen,2,5.522
Chen,1,5.791
RNAComposer,1,6.325
Bujnicki,4,6.363
Chen,10,5.826
Xiao,1,7.126
Xiao,2,7.126
Xiao,3,7.126
Xiao,4,7.126
Xiao,5,7.126
Chen,6,6.136
Chen,3,6.203
Bujnicki,5,6.692
Chen,9,6.222
Chen,8,6.264
Chen,7,6.535
Ding,2,7.989
Adamiak,2,8.901
RNAComposer,5,8.069
Bujnicki,2,8.397
Adamiak,3,9.080
Adamiak,5,8.747
Ding,1,9.578
Adamiak,4,9.463
Adamiak,1,11.398
iFoldRNA,3,21.409
iFoldRNA,2,20.192
iFoldRNA,5,21.140
iFoldRNA,1,22.196
iFoldRNA,4,23.325
SimRNA,1,22.823
SimRNA,2,24.735
SimRNA,3,25.256
SimRNA,5,34.436
SimRNA,4,33.539
