Lab,Num,INF wc
TFN,2,0.933
Das,7,0.933
Das,5,0.933
Das,1,0.933
FARFAR2,2,0.933
Das,8,0.933
Das,3,0.933
FARFAR2,5,0.933
RNAComposer,2,0.956
FARFAR2,1,0.933
RNAComposer,3,0.956
FARFAR2,7,0.910
TFN,5,0.933
TFN,3,0.933
TFN,4,0.910
FARFAR2,4,0.933
TFN,8,0.910
TFN,1,0.910
TFN,10,0.933
TFN,7,0.910
TFN,9,0.933
FARFAR2,10,0.933
Das,2,0.933
FARFAR2,6,0.933
FARFAR2,3,0.933
Das,10,0.933
FARFAR2,8,0.933
TFN,6,0.933
Das,9,0.933
Chen,5,0.978
Das,4,0.933
FARFAR2,9,0.933
RNAComposer,4,0.956
Bujnicki,1,0.956
Chen,4,1.000
Das,6,0.910
Bujnicki,3,0.956
Chen,2,1.000
Chen,1,0.978
RNAComposer,1,0.978
Bujnicki,4,0.956
Chen,10,1.000
Xiao,1,0.860
Xiao,2,0.860
Xiao,3,0.860
Xiao,4,0.860
Xiao,5,0.860
Chen,6,0.957
Chen,3,0.978
Bujnicki,5,0.933
Chen,9,1.000
Chen,8,1.000
Chen,7,0.978
Ding,2,0.978
Adamiak,2,0.934
RNAComposer,5,0.978
Bujnicki,2,0.956
Adamiak,3,0.957
Adamiak,5,0.978
Ding,1,1.000
Adamiak,4,0.934
Adamiak,1,0.957
iFoldRNA,3,0.876
iFoldRNA,2,0.889
iFoldRNA,5,0.936
iFoldRNA,1,0.886
iFoldRNA,4,0.894
SimRNA,1,0.934
SimRNA,2,0.865
SimRNA,3,0.900
SimRNA,5,0.783
SimRNA,4,0.889
