Lab,Num,INF all
TFN,2,0.837
Das,7,0.837
Das,5,0.842
Das,1,0.831
FARFAR2,2,0.840
Das,8,0.833
Das,3,0.847
FARFAR2,5,0.842
RNAComposer,2,0.823
FARFAR2,1,0.842
RNAComposer,3,0.764
FARFAR2,7,0.837
TFN,5,0.847
TFN,3,0.835
TFN,4,0.814
FARFAR2,4,0.824
TFN,8,0.824
TFN,1,0.819
TFN,10,0.835
TFN,7,0.814
TFN,9,0.821
FARFAR2,10,0.828
Das,2,0.800
FARFAR2,6,0.800
FARFAR2,3,0.800
Das,10,0.828
FARFAR2,8,0.828
TFN,6,0.835
Das,9,0.821
Chen,5,0.865
Das,4,0.821
FARFAR2,9,0.810
RNAComposer,4,0.738
Bujnicki,1,0.805
Chen,4,0.876
Das,6,0.824
Bujnicki,3,0.788
Chen,2,0.880
Chen,1,0.851
RNAComposer,1,0.793
Bujnicki,4,0.798
Chen,10,0.872
Xiao,1,0.722
Xiao,2,0.722
Xiao,3,0.722
Xiao,4,0.722
Xiao,5,0.722
Chen,6,0.852
Chen,3,0.844
Bujnicki,5,0.786
Chen,9,0.858
Chen,8,0.864
Chen,7,0.870
Ding,2,0.775
Adamiak,2,0.730
RNAComposer,5,0.812
Bujnicki,2,0.805
Adamiak,3,0.748
Adamiak,5,0.784
Ding,1,0.749
Adamiak,4,0.774
Adamiak,1,0.794
iFoldRNA,3,0.659
iFoldRNA,2,0.699
iFoldRNA,5,0.687
iFoldRNA,1,0.684
iFoldRNA,4,0.655
SimRNA,1,0.675
SimRNA,2,0.657
SimRNA,3,0.667
SimRNA,5,0.561
SimRNA,4,0.709
