Lab,Num,P-value
TFN,2,0.00e+00
Das,7,0.00e+00
Das,5,0.00e+00
Das,1,0.00e+00
FARFAR2,2,0.00e+00
Das,8,0.00e+00
Das,3,0.00e+00
FARFAR2,5,0.00e+00
RNAComposer,2,0.00e+00
FARFAR2,1,0.00e+00
RNAComposer,3,0.00e+00
FARFAR2,7,0.00e+00
TFN,5,0.00e+00
TFN,3,0.00e+00
TFN,4,0.00e+00
FARFAR2,4,0.00e+00
TFN,8,0.00e+00
TFN,1,0.00e+00
TFN,10,0.00e+00
TFN,7,0.00e+00
TFN,9,0.00e+00
FARFAR2,10,0.00e+00
Das,2,0.00e+00
FARFAR2,6,0.00e+00
FARFAR2,3,0.00e+00
Das,10,0.00e+00
FARFAR2,8,0.00e+00
TFN,6,0.00e+00
Das,9,0.00e+00
Chen,5,0.00e+00
Das,4,0.00e+00
FARFAR2,9,0.00e+00
RNAComposer,4,0.00e+00
Bujnicki,1,0.00e+00
Chen,4,0.00e+00
Das,6,0.00e+00
Bujnicki,3,0.00e+00
Chen,2,0.00e+00
Chen,1,0.00e+00
RNAComposer,1,0.00e+00
Bujnicki,4,0.00e+00
Chen,10,0.00e+00
Xiao,1,0.00e+00
Xiao,2,0.00e+00
Xiao,3,0.00e+00
Xiao,4,0.00e+00
Xiao,5,0.00e+00
Chen,6,0.00e+00
Chen,3,0.00e+00
Bujnicki,5,0.00e+00
Chen,9,0.00e+00
Chen,8,0.00e+00
Chen,7,0.00e+00
Ding,2,0.00e+00
Adamiak,2,0.00e+00
RNAComposer,5,0.00e+00
Bujnicki,2,0.00e+00
Adamiak,3,0.00e+00
Adamiak,5,0.00e+00
Ding,1,0.00e+00
Adamiak,4,0.00e+00
Adamiak,1,0.00e+00
iFoldRNA,3,2.58e-10
iFoldRNA,2,2.66e-10
iFoldRNA,5,1.15e-09
iFoldRNA,1,9.78e-09
iFoldRNA,4,1.36e-08
SimRNA,1,2.03e-08
SimRNA,2,2.53e-07
SimRNA,3,1.35e-06
SimRNA,5,4.61e-04
SimRNA,4,2.00e-01
