Lab,Num,mcq
TFN,2,19.81
Das,7,20.39
Das,5,20.40
Das,1,20.54
FARFAR2,2,20.05
Das,8,21.07
Das,3,20.93
FARFAR2,5,21.42
RNAComposer,2,22.79
FARFAR2,1,21.20
RNAComposer,3,25.88
FARFAR2,7,20.96
TFN,5,21.48
TFN,3,21.14
TFN,4,21.06
FARFAR2,4,20.50
TFN,8,21.49
TFN,1,20.53
TFN,10,22.03
TFN,7,21.26
TFN,9,21.52
FARFAR2,10,21.41
Das,2,21.55
FARFAR2,6,21.55
FARFAR2,3,21.33
Das,10,20.96
FARFAR2,8,20.96
TFN,6,21.04
Das,9,21.73
Chen,5,27.61
Das,4,20.96
FARFAR2,9,21.21
RNAComposer,4,22.51
Bujnicki,1,25.03
Chen,4,27.67
Das,6,20.92
Bujnicki,3,25.50
Chen,2,26.57
Chen,1,27.18
RNAComposer,1,22.33
Bujnicki,4,26.46
Chen,10,26.70
Xiao,1,25.42
Xiao,2,25.42
Xiao,3,25.42
Xiao,4,25.42
Xiao,5,25.42
Chen,6,27.83
Chen,3,26.55
Bujnicki,5,25.56
Chen,9,26.14
Chen,8,27.68
Chen,7,28.05
Ding,2,23.74
Adamiak,2,26.14
RNAComposer,5,26.56
Bujnicki,2,25.23
Adamiak,3,23.28
Adamiak,5,19.17
Ding,1,24.77
Adamiak,4,22.17
Adamiak,1,24.04
iFoldRNA,3,22.38
iFoldRNA,2,23.82
iFoldRNA,5,22.57
iFoldRNA,1,23.89
iFoldRNA,4,25.63
SimRNA,1,25.62
SimRNA,2,26.14
SimRNA,3,21.33
SimRNA,5,25.23
SimRNA,4,25.24
