Lab,Num,P-value
SimRNAAS2,1,0.00e+00
Das,4,3.89e-15
SimRNAAS2,7,3.02e-14
Das,1,1.76e-12
Das,8,2.33e-12
Das,9,3.35e-12
Chen,5,4.36e-11
Bujnicki,7,6.03e-09
Das,7,8.13e-09
DasExtraInfo,1,1.01e-08
Das,2,2.08e-08
Das,6,4.65e-08
Chen,2,6.22e-08
Adamiak,2,1.05e-07
RNAComposerAS2,3,1.57e-07
RNAComposerAS2,2,2.09e-07
DasExtraInfo,2,2.47e-07
SimRNAAS2,6,3.60e-07
Bujnicki,8,3.97e-07
RNAComposerAS2,1,4.79e-07
Adamiak,1,4.92e-07
Adamiak,3,5.83e-07
RNAComposerAS2,5,9.82e-07
SimRNAAS2,8,1.74e-06
RNAComposerAS2,6,1.81e-06
RNAComposerAS2,7,2.01e-06
Ding,7,2.22e-06
DasExtraInfo,3,5.78e-06
Ding,10,8.74e-06
Major,10,9.00e-06
RNAComposerAS2,4,1.20e-05
RNAComposerAS2,8,1.20e-05
Xiao,7,2.67e-05
Bujnicki,5,3.41e-05
Bujnicki,1,3.61e-05
Bujnicki,9,3.61e-05
Xiao,9,4.55e-05
SimRNAAS2,9,7.31e-05
Bujnicki,6,8.52e-05
Bujnicki,10,8.98e-05
Bujnicki,2,8.98e-05
Ding,3,1.19e-04
Xiao,5,1.34e-04
Bujnicki,3,1.57e-04
Chen,6,2.00e-04
Ding,8,2.14e-04
Das,3,2.51e-04
Major,6,2.60e-04
Xiao,1,3.52e-04
Ding,1,3.53e-04
Dokholyan,3,3.57e-04
SimRNAAS2,4,3.89e-04
Chen,4,4.47e-04
SimRNAAS1,6,4.78e-04
Das,5,7.18e-04
Xiao,3,9.10e-04
Xiao,10,9.54e-04
RNAComposerAS2,10,1.05e-03
SimRNAAS2,3,1.06e-03
Chen,9,1.08e-03
SimRNAAS1,1,1.11e-03
Ding,4,1.41e-03
Xiao,8,2.03e-03
Ding,5,2.29e-03
Ding,2,2.38e-03
Bujnicki,4,2.53e-03
RNAComposerAS2,9,2.62e-03
SimRNAAS2,2,2.63e-03
Chen,1,2.69e-03
Dokholyan,2,3.55e-03
Major,7,4.58e-03
Chen,7,4.73e-03
Major,9,5.34e-03
SimRNAAS1,2,5.67e-03
Xiao,2,5.80e-03
SimRNAAS1,8,5.84e-03
Chen,8,6.07e-03
Major,8,6.52e-03
Ding,9,7.34e-03
SimRNAAS1,4,8.10e-03
Major,1,8.33e-03
Ding,6,1.00e-02
SimRNAAS1,3,1.06e-02
SimRNAAS1,5,1.12e-02
Major,3,1.18e-02
Xiao,6,1.48e-02
Chen,3,1.81e-02
Xiao,4,2.00e-02
Das,10,2.03e-02
RNAComposerAS1,8,2.55e-02
RNAComposerAS1,3,3.53e-02
Major,2,4.35e-02
RNAComposerAS1,10,6.84e-02
Major,5,7.06e-02
SimRNAAS2,5,7.97e-02
Major,4,8.82e-02
RNAComposerAS1,1,9.78e-02
RNAComposerAS1,6,1.12e-01
Chen,10,1.14e-01
SimRNAAS1,7,1.26e-01
RNAComposerAS1,9,2.10e-01
RNAComposerAS1,5,2.56e-01
RNAComposerAS1,4,2.72e-01
SimRNAAS1,9,3.62e-01
RNAComposerAS1,7,3.80e-01
RNAComposerAS1,2,5.88e-01
Dokholyan,1,6.37e-01
