Lab,Num,INF wc
Das,4,0.810
Das,6,0.810
Das,2,0.818
Das,1,0.810
Das,9,0.804
Das,3,0.817
Das,5,0.818
Das,7,0.803
Das,8,0.818
Major,3,0.768
Major,2,0.753
Chen,4,0.754
Chen,2,0.667
Major,1,0.738
Major,4,0.789
Major,7,0.789
Dokholyan,5,0.775
Major,6,0.789
Chen,5,0.716
Chen,3,0.650
Chen,1,0.715
Major,5,0.760
Dokholyan,4,0.753
Dokholyan,1,0.760
Dokholyan,3,0.768
Dokholyan,2,0.753
Das,10,0.804
Bujnicki,2,0.715
Chen,7,0.650
Bujnicki,4,0.606
Bujnicki,3,0.515
Chen,6,0.746
Bujnicki,1,0.723
Dokholyan,6,0.686
