Lab,Num,P-value
TS232,3,0.00e+00
TS232,5,0.00e+00
TS232,1,0.00e+00
TS325,1,0.00e+00
TS325,2,0.00e+00
TS325,3,0.00e+00
TS325,4,0.00e+00
TS325,5,0.00e+00
TS347,1,0.00e+00
TS347,2,0.00e+00
TS347,3,0.00e+00
TS347,4,0.00e+00
TS347,5,0.00e+00
TS456,1,0.00e+00
TS456,2,0.00e+00
TS456,3,0.00e+00
TS456,4,0.00e+00
TS456,5,0.00e+00
TS287,4,0.00e+00
TS081,2,0.00e+00
TS081,3,0.00e+00
TS081,4,0.00e+00
TS081,1,0.00e+00
TS287,5,0.00e+00
TS232,4,0.00e+00
TS128,1,0.00e+00
TS287,1,0.00e+00
TS287,2,0.00e+00
TS128,2,0.00e+00
TS232,2,0.00e+00
TS081,5,0.00e+00
TS119,1,0.00e+00
TS287,3,0.00e+00
TS119,2,0.00e+00
TS119,4,0.00e+00
TS128,3,0.00e+00
TS128,4,0.00e+00
TS128,5,0.00e+00
TS054,5,0.00e+00
TS054,4,0.00e+00
TS119,3,0.00e+00
TS147,5,0.00e+00
TS054,2,0.00e+00
TS235,4,0.00e+00
TS076,5,0.00e+00
TS125,1,0.00e+00
TS444,1,0.00e+00
TS434,1,0.00e+00
TS125,2,0.00e+00
TS416,2,0.00e+00
TS245,4,0.00e+00
TS245,5,0.00e+00
TS235,3,0.00e+00
TS238,1,0.00e+00
TS235,2,0.00e+00
TS185,3,0.00e+00
TS054,3,0.00e+00
TS125,5,0.00e+00
TS416,5,0.00e+00
TS227,5,0.00e+00
TS227,3,0.00e+00
TS392,2,0.00e+00
TS470,3,0.00e+00
TS489,3,0.00e+00
TS076,3,0.00e+00
TS147,1,0.00e+00
TS434,4,0.00e+00
TS235,5,0.00e+00
TS470,5,0.00e+00
TS489,5,0.00e+00
TS470,4,0.00e+00
TS489,4,0.00e+00
TS392,1,0.00e+00
TS470,2,0.00e+00
TS489,2,0.00e+00
TS235,1,0.00e+00
TS245,2,0.00e+00
TS229,4,0.00e+00
TS076,4,0.00e+00
TS392,3,0.00e+00
TS125,4,0.00e+00
TS416,4,0.00e+00
TS439,4,0.00e+00
TS434,3,0.00e+00
TS147,2,0.00e+00
TS229,3,0.00e+00
TS239,4,0.00e+00
TS439,3,0.00e+00
TS245,3,0.00e+00
TS444,5,0.00e+00
TS444,3,0.00e+00
TS470,1,0.00e+00
TS489,1,0.00e+00
TS147,3,0.00e+00
TS110,5,0.00e+00
TS054,1,0.00e+00
TS185,1,0.00e+00
TS239,2,0.00e+00
TS125,3,0.00e+00
TS076,1,0.00e+00
TS110,4,0.00e+00
TS147,4,0.00e+00
TS434,5,6.11e-16
TS185,5,4.33e-15
TS229,5,5.22e-15
TS439,5,5.22e-15
TS076,2,7.05e-15
TS229,1,1.17e-14
TS239,1,1.17e-14
TS416,1,1.17e-14
TS439,1,1.17e-14
TS239,5,4.52e-14
TS444,4,4.52e-14
TS238,2,1.08e-13
TS110,2,3.80e-13
TS227,4,5.04e-13
TS434,2,2.48e-12
TS035,4,4.85e-12
TS029,1,1.94e-11
TS119,5,4.32e-10
TS238,3,1.26e-09
TS227,2,1.32e-09
TS110,1,1.33e-08
TS227,1,1.83e-08
TS245,1,5.87e-08
TS385,1,5.87e-08
TS444,2,5.87e-08
TS229,2,5.10e-07
TS439,2,5.10e-07
TS110,3,5.27e-06
TS035,3,1.36e-05
TS185,2,5.95e-05
TS035,2,7.01e-05
TS248,2,3.58e-04
TS248,1,3.63e-04
TS248,4,3.64e-04
TS248,3,3.93e-04
TS035,1,3.94e-04
TS248,5,4.09e-04
TS029,4,9.21e-03
TS239,3,1.58e-02
TS416,3,1.58e-02
TS029,5,2.32e-02
TS029,2,2.38e-02
TS185,4,9.97e-01
TS029,3,1.00e+00
TS097,1,1.00e+00
TS097,2,1.00e+00
TS097,3,1.00e+00
TS097,4,1.00e+00
TS097,5,1.00e+00
TS177,1,1.00e+00
TS035,5,1.00e+00
TS131,4,1.00e+00
TS131,1,1.00e+00
TS131,5,1.00e+00
TS131,3,1.00e+00
TS131,2,1.00e+00
