Lab,Num,INF all
TS232,3,0.905
TS232,5,0.917
TS232,1,0.904
TS325,1,0.904
TS325,2,0.904
TS325,3,0.904
TS325,4,0.904
TS325,5,0.904
TS347,1,0.904
TS347,2,0.904
TS347,3,0.904
TS347,4,0.904
TS347,5,0.904
TS456,1,0.904
TS456,2,0.904
TS456,3,0.904
TS456,4,0.904
TS456,5,0.904
TS287,4,0.903
TS081,2,0.883
TS081,3,0.874
TS081,4,0.881
TS081,1,0.877
TS287,5,0.918
TS232,4,0.894
TS128,1,0.866
TS287,1,0.901
TS287,2,0.856
TS128,2,0.847
TS232,2,0.896
TS081,5,0.876
TS119,1,0.886
TS287,3,0.901
TS119,2,0.868
TS119,4,0.890
TS128,3,0.833
TS128,4,0.787
TS128,5,0.762
TS054,5,0.847
TS054,4,0.849
TS119,3,0.883
TS147,5,0.831
TS054,2,0.883
TS235,4,0.807
TS076,5,0.824
TS125,1,0.824
TS444,1,0.824
TS434,1,0.796
TS125,2,0.806
TS416,2,0.806
TS245,4,0.538
TS245,5,0.526
TS235,3,0.751
TS238,1,0.105
TS235,2,0.751
TS185,3,-1.000
TS054,3,0.841
TS125,5,0.797
TS416,5,0.797
TS227,5,0.821
TS227,3,0.797
TS392,2,0.774
TS470,3,0.573
TS489,3,0.573
TS076,3,0.804
TS147,1,0.829
TS434,4,0.813
TS235,5,0.809
TS470,5,0.490
TS489,5,0.490
TS470,4,0.549
TS489,4,0.549
TS392,1,0.786
TS470,2,0.550
TS489,2,0.550
TS235,1,0.762
TS245,2,0.526
TS229,4,0.665
TS076,4,0.771
TS392,3,0.775
TS125,4,0.804
TS416,4,0.804
TS439,4,0.804
TS434,3,0.786
TS147,2,0.848
TS229,3,0.601
TS239,4,0.601
TS439,3,0.601
TS245,3,0.499
TS444,5,0.499
TS444,3,0.594
TS470,1,0.594
TS489,1,0.594
TS147,3,0.835
TS110,5,0.774
TS054,1,0.841
TS185,1,-1.000
TS239,2,0.689
TS125,3,0.757
TS076,1,0.798
TS110,4,0.797
TS147,4,0.833
TS434,5,0.791
TS185,5,-1.000
TS229,5,0.664
TS439,5,0.664
TS076,2,0.825
TS229,1,0.672
TS239,1,0.672
TS416,1,0.672
TS439,1,0.672
TS239,5,0.619
TS444,4,0.619
TS238,2,0.103
TS110,2,0.767
TS227,4,0.817
TS434,2,0.803
TS035,4,0.508
TS029,1,0.418
TS119,5,0.861
TS238,3,0.308
TS227,2,0.791
TS110,1,0.761
TS227,1,0.783
TS245,1,0.537
TS385,1,0.537
TS444,2,0.537
TS229,2,0.682
TS439,2,0.682
TS110,3,0.739
TS035,3,0.787
TS185,2,-1.000
TS035,2,0.788
TS248,2,0.774
TS248,1,0.771
TS248,4,0.781
TS248,3,0.778
TS035,1,0.777
TS248,5,0.785
TS029,4,0.388
TS239,3,0.673
TS416,3,0.673
TS029,5,0.312
TS029,2,0.405
TS185,4,-1.000
TS029,3,0.356
TS097,1,0.317
TS097,2,0.317
TS097,3,0.317
TS097,4,0.317
TS097,5,0.317
TS177,1,0.396
TS035,5,0.534
TS131,4,0.565
TS131,1,0.557
TS131,5,0.576
TS131,3,0.569
TS131,2,0.572
