Lab,Num,INF nwc
Chen,5,0.577
Adamiak,1,0.250
Adamiak,3,0.250
Chen,8,0.577
Chen,3,0.577
Bujnicki,5,0.671
Chen,9,0.577
Chen,1,0.577
Bujnicki,2,0.612
Chen,7,0.577
Chen,4,0.577
Bujnicki,3,0.671
Adamiak,4,0.289
Chen,10,0.577
Adamiak,2,0.000
Adamiak,5,0.000
Bujnicki,1,0.671
Chen,2,0.577
Bujnicki,4,0.612
Chen,6,0.577
Das,5,0.671
Das,7,0.567
Das,8,0.671
Xiao,1,0.000
Xiao,4,0.000
Xiao,5,0.000
Xiao,3,0.000
Das,1,0.612
Das,9,0.671
Das,6,0.500
Das,3,0.750
Das,10,0.671
Das,2,0.500
Das,4,0.671
iFoldRNA,1,0.000
SimRNA,1,0.000
RNAComposer,1,-
Ding,2,0.000
RNAComposer,3,-
SimRNA,5,0.000
SimRNA,3,-
SimRNA,4,0.000
SimRNA,2,0.000
Ding,3,-
RNAComposer,2,-
Ding,1,0.000
Xiao,2,0.000
