Lab,Num,INF wc
Das,1,0.870
Das,2,0.830
Chen,5,0.826
Das,3,0.797
Das,5,0.828
Bujnicki,4,0.828
Bujnicki,5,0.828
Das,6,0.809
Das,7,0.803
Das,4,0.788
Bujnicki,3,0.832
Bujnicki,6,0.838
Ding,9,0.691
Bujnicki,7,0.838
Das,8,0.809
Major,3,0.766
Ding,8,0.731
Major,9,0.755
Major,8,0.755
Major,4,0.755
Major,6,0.761
Chen,4,0.800
Major,2,0.761
Major,5,0.772
Major,7,0.772
Chen,1,0.493
Adamiak,5,0.803
Adamiak,2,0.786
Chen,7,0.786
Major,1,0.760
Ding,1,0.703
Adamiak,1,0.792
Chen,6,0.793
Ding,6,0.737
Ding,5,0.685
Ding,7,0.732
Dokholyan,1,0.814
Chen,8,0.797
Chen,3,0.800
Adamiak,4,0.786
Adamiak,3,0.792
Major,10,0.755
Ding,3,0.709
Chen,10,0.786
Ding,4,0.680
Ding,2,0.708
Chen,9,0.786
Chen,2,0.793
Ding,10,0.708
Dokholyan,2,0.482
Bujnicki,1,0.509
Bujnicki,2,0.578
