Lab,Num,INF nwc
Das,1,0.289
Das,2,0.289
Chen,5,0.289
Das,3,0.289
Das,5,0.354
Bujnicki,4,0.000
Bujnicki,5,0.000
Das,6,0.289
Das,7,0.354
Das,4,0.250
Bujnicki,3,0.000
Bujnicki,6,0.000
Ding,9,-
Bujnicki,7,-
Das,8,0.000
Major,3,0.000
Ding,8,-
Major,9,0.000
Major,8,0.000
Major,4,0.000
Major,6,0.000
Chen,4,0.500
Major,2,0.000
Major,5,0.000
Major,7,0.000
Chen,1,0.000
Adamiak,5,0.354
Adamiak,2,-
Chen,7,0.354
Major,1,0.000
Ding,1,-
Adamiak,1,0.500
Chen,6,0.408
Ding,6,-
Ding,5,-
Ding,7,-
Dokholyan,1,-
Chen,8,0.707
Chen,3,0.500
Adamiak,4,0.000
Adamiak,3,0.000
Major,10,0.000
Ding,3,-
Chen,10,0.500
Ding,4,-
Ding,2,-
Chen,9,0.500
Chen,2,0.707
Ding,10,-
Dokholyan,2,0.000
Bujnicki,1,0.000
Bujnicki,2,0.000
