Lab,Num,RMSD
RNAComposerAS2,1,1.250
Szachniuk,1,1.250
Chen,1,1.324
RNAComposerAS1,3,1.344
RW3DAS1,6,1.371
RW3DAS2,8,1.448
RW3DAS2,7,1.517
RNAComposerAS2,4,1.543
Szachniuk,4,1.543
RW3DAS1,3,1.545
RNAComposerAS2,3,1.607
Szachniuk,3,1.607
RNAComposerAS2,7,1.614
Szachniuk,7,1.614
RW3DAS2,3,1.634
RNAComposerAS1,2,1.642
RNAComposerAS1,7,1.670
RNAComposerAS2,5,1.682
Szachniuk,5,1.682
RNAComposerAS2,2,1.698
Szachniuk,2,1.698
RNAComposerAS2,8,1.712
Szachniuk,8,1.712
RNAComposerAS1,8,1.717
RW3DAS2,4,1.753
RNAComposerAS1,4,1.772
RW3DAS2,2,1.772
RW3DAS1,2,1.784
RNAComposerAS1,10,1.812
RNAComposerAS2,6,1.812
Szachniuk,6,1.812
3dRNAAS2,10,1.815
RNAComposerAS1,5,1.839
RW3DAS1,8,1.851
RW3DAS1,1,1.856
RW3DAS1,9,1.891
RW3DAS2,1,1.899
3dRNAAS2,5,1.904
3dRNAAS2,6,1.904
3dRNAAS2,7,1.904
RW3DAS1,5,1.917
RW3DAS1,10,1.992
RW3DAS1,7,1.999
RW3DAS2,6,2.026
RW3DAS2,5,2.038
RW3DAS2,9,2.090
RW3DAS1,4,2.112
RNAComposerAS1,9,2.348
RNAComposerAS1,1,2.431
RW3DAS2,10,2.501
RNAComposerAS1,6,2.521
RNAComposerAS2,10,2.668
Szachniuk,10,2.668
RNAComposerAS2,9,2.759
Szachniuk,9,2.759
3dRNAAS2,9,2.883
Lee,3,3.591
Lee,8,3.782
Lee,6,3.803
SimRNAAS2,1,3.873
Lee,2,3.948
Lee,1,4.018
Lee,9,4.042
Lee,7,4.056
SimRNAAS1,1,4.228
Lee,4,4.236
SimRNAAS2,8,4.373
3dRNAAS2,2,4.419
SimRNAAS2,6,4.471
3dRNAAS2,1,4.531
3dRNAAS2,4,4.572
SimRNAAS2,2,4.628
SimRNAAS2,4,4.686
Lee,5,4.708
SimRNAAS1,3,4.784
Lee,10,4.876
3dRNAAS2,8,4.944
SimRNAAS1,2,4.952
SimRNAAS2,3,5.049
SimRNAAS2,5,5.184
SimRNAAS2,7,5.597
SimRNAAS2,9,5.700
3dRNAAS2,3,5.720
Chen,2,7.200
Chen,3,7.276
Chen,6,15.547
Chen,10,15.708
Chen,8,15.745
Chen,4,15.794
Chen,9,16.285
Chen,7,16.367
Chen,5,16.390
