Lab,Num,INF nwc
RNAComposerAS2,1,0.775
Szachniuk,1,0.775
Chen,1,0.775
RNAComposerAS1,3,0.447
RW3DAS1,6,0.894
RW3DAS2,8,0.894
RW3DAS2,7,0.894
RNAComposerAS2,4,0.775
Szachniuk,4,0.775
RW3DAS1,3,0.894
RNAComposerAS2,3,0.775
Szachniuk,3,0.775
RNAComposerAS2,7,1.000
Szachniuk,7,1.000
RW3DAS2,3,0.894
RNAComposerAS1,2,0.775
RNAComposerAS1,7,0.632
RNAComposerAS2,5,1.000
Szachniuk,5,1.000
RNAComposerAS2,2,0.775
Szachniuk,2,0.775
RNAComposerAS2,8,0.894
Szachniuk,8,0.894
RNAComposerAS1,8,0.775
RW3DAS2,4,1.000
RNAComposerAS1,4,0.775
RW3DAS2,2,0.894
RW3DAS1,2,1.000
RNAComposerAS1,10,0.447
RNAComposerAS2,6,0.894
Szachniuk,6,0.894
3dRNAAS2,10,0.775
RNAComposerAS1,5,1.000
RW3DAS1,8,0.894
RW3DAS1,1,0.800
RW3DAS1,9,0.775
RW3DAS2,1,0.894
3dRNAAS2,5,0.775
3dRNAAS2,6,0.775
3dRNAAS2,7,0.775
RW3DAS1,5,0.894
RW3DAS1,10,0.894
RW3DAS1,7,0.894
RW3DAS2,6,0.894
RW3DAS2,5,1.000
RW3DAS2,9,0.894
RW3DAS1,4,1.000
RNAComposerAS1,9,0.632
RNAComposerAS1,1,0.632
RW3DAS2,10,0.894
RNAComposerAS1,6,0.632
RNAComposerAS2,10,0.775
Szachniuk,10,0.775
RNAComposerAS2,9,0.894
Szachniuk,9,0.894
3dRNAAS2,9,0.894
Lee,3,-
Lee,8,-
Lee,6,-
SimRNAAS2,1,0.447
Lee,2,-
Lee,1,-
Lee,9,-
Lee,7,-
SimRNAAS1,1,0.447
Lee,4,-
SimRNAAS2,8,-
3dRNAAS2,2,0.775
SimRNAAS2,6,0.632
3dRNAAS2,1,0.775
3dRNAAS2,4,0.775
SimRNAAS2,2,-
SimRNAAS2,4,0.447
Lee,5,-
SimRNAAS1,3,0.447
Lee,10,-
3dRNAAS2,8,0.775
SimRNAAS1,2,0.632
SimRNAAS2,3,0.447
SimRNAAS2,5,0.447
SimRNAAS2,7,0.632
SimRNAAS2,9,0.516
3dRNAAS2,3,0.775
Chen,2,-
Chen,3,-
Chen,6,0.000
Chen,10,-
Chen,8,-
Chen,4,-
Chen,9,0.000
Chen,7,-
Chen,5,0.000
