Lab,Num,INF wc
RNAComposerAS2,1,1.000
Szachniuk,1,1.000
Chen,1,1.000
RNAComposerAS1,3,0.926
RW3DAS1,6,1.000
RW3DAS2,8,1.000
RW3DAS2,7,1.000
RNAComposerAS2,4,0.913
Szachniuk,4,0.913
RW3DAS1,3,1.000
RNAComposerAS2,3,0.913
Szachniuk,3,0.913
RNAComposerAS2,7,1.000
Szachniuk,7,1.000
RW3DAS2,3,0.913
RNAComposerAS1,2,0.926
RNAComposerAS1,7,0.926
RNAComposerAS2,5,0.913
Szachniuk,5,0.913
RNAComposerAS2,2,1.000
Szachniuk,2,1.000
RNAComposerAS2,8,0.913
Szachniuk,8,0.913
RNAComposerAS1,8,0.926
RW3DAS2,4,0.913
RNAComposerAS1,4,1.000
RW3DAS2,2,0.926
RW3DAS1,2,0.926
RNAComposerAS1,10,1.000
RNAComposerAS2,6,0.913
Szachniuk,6,0.913
3dRNAAS2,10,0.926
RNAComposerAS1,5,1.000
RW3DAS1,8,0.926
RW3DAS1,1,1.000
RW3DAS1,9,1.000
RW3DAS2,1,1.000
3dRNAAS2,5,0.913
3dRNAAS2,6,0.913
3dRNAAS2,7,0.913
RW3DAS1,5,0.926
RW3DAS1,10,1.000
RW3DAS1,7,1.000
RW3DAS2,6,0.833
RW3DAS2,5,0.913
RW3DAS2,9,0.913
RW3DAS1,4,0.926
RNAComposerAS1,9,0.926
RNAComposerAS1,1,0.926
RW3DAS2,10,0.926
RNAComposerAS1,6,1.000
RNAComposerAS2,10,0.913
Szachniuk,10,0.913
RNAComposerAS2,9,0.913
Szachniuk,9,0.913
3dRNAAS2,9,0.913
Lee,3,0.775
Lee,8,0.775
Lee,6,0.775
SimRNAAS2,1,0.775
Lee,2,0.775
Lee,1,0.775
Lee,9,0.739
Lee,7,0.775
SimRNAAS1,1,0.775
Lee,4,0.775
SimRNAAS2,8,0.775
3dRNAAS2,2,0.913
SimRNAAS2,6,0.775
3dRNAAS2,1,0.816
3dRNAAS2,4,0.913
SimRNAAS2,2,0.775
SimRNAAS2,4,0.775
Lee,5,0.775
SimRNAAS1,3,0.775
Lee,10,0.775
3dRNAAS2,8,0.577
SimRNAAS1,2,0.775
SimRNAAS2,3,0.775
SimRNAAS2,5,0.816
SimRNAAS2,7,0.816
SimRNAAS2,9,0.775
3dRNAAS2,3,0.707
Chen,2,0.833
Chen,3,0.772
Chen,6,-
Chen,10,0.000
Chen,8,0.000
Chen,4,0.000
Chen,9,0.000
Chen,7,0.000
Chen,5,0.000
