Lab,Num,P-value
RNAComposerAS2,1,1.10e-09
Szachniuk,1,1.10e-09
Chen,1,1.41e-09
RNAComposerAS1,3,1.51e-09
RW3DAS1,6,1.65e-09
RW3DAS2,8,2.14e-09
RW3DAS2,7,2.69e-09
RNAComposerAS2,4,2.94e-09
Szachniuk,4,2.94e-09
RW3DAS1,3,2.96e-09
RNAComposerAS2,3,3.63e-09
Szachniuk,3,3.63e-09
RNAComposerAS2,7,3.72e-09
Szachniuk,7,3.72e-09
RW3DAS2,3,3.98e-09
RNAComposerAS1,2,4.08e-09
RNAComposerAS1,7,4.47e-09
RNAComposerAS2,5,4.66e-09
Szachniuk,5,4.66e-09
RNAComposerAS2,2,4.90e-09
Szachniuk,2,4.90e-09
RNAComposerAS2,8,5.13e-09
Szachniuk,8,5.13e-09
RNAComposerAS1,8,5.21e-09
RW3DAS2,4,5.87e-09
RNAComposerAS1,4,6.25e-09
RW3DAS2,2,6.23e-09
RW3DAS1,2,6.49e-09
RNAComposerAS1,10,7.12e-09
RNAComposerAS2,6,7.10e-09
Szachniuk,6,7.10e-09
3dRNAAS2,10,7.17e-09
RNAComposerAS1,5,7.75e-09
RW3DAS1,8,8.05e-09
RW3DAS1,1,8.20e-09
RW3DAS1,9,9.18e-09
RW3DAS2,1,9.40e-09
3dRNAAS2,5,9.56e-09
3dRNAAS2,6,9.56e-09
3dRNAAS2,7,9.56e-09
RW3DAS1,5,9.96e-09
RW3DAS1,10,1.27e-08
RW3DAS1,7,1.30e-08
RW3DAS2,6,1.41e-08
RW3DAS2,5,1.47e-08
RW3DAS2,9,1.73e-08
RW3DAS1,4,1.86e-08
RNAComposerAS1,9,3.87e-08
RNAComposerAS1,1,5.00e-08
RW3DAS2,10,6.19e-08
RNAComposerAS1,6,6.57e-08
RNAComposerAS2,10,1.02e-07
Szachniuk,10,1.02e-07
RNAComposerAS2,9,1.34e-07
Szachniuk,9,1.34e-07
3dRNAAS2,9,1.93e-07
Lee,3,1.42e-06
Lee,8,2.37e-06
Lee,6,2.50e-06
SimRNAAS2,1,3.01e-06
Lee,2,3.66e-06
Lee,1,4.39e-06
Lee,9,4.67e-06
Lee,7,4.84e-06
SimRNAAS1,1,7.50e-06
Lee,4,7.66e-06
SimRNAAS2,8,1.08e-05
3dRNAAS2,2,1.21e-05
SimRNAAS2,6,1.37e-05
3dRNAAS2,1,1.59e-05
3dRNAAS2,4,1.76e-05
SimRNAAS2,2,2.01e-05
SimRNAAS2,4,2.31e-05
Lee,5,2.43e-05
SimRNAAS1,3,2.91e-05
Lee,10,3.62e-05
3dRNAAS2,8,4.23e-05
SimRNAAS1,2,4.32e-05
SimRNAAS2,3,5.38e-05
SimRNAAS2,5,7.30e-05
SimRNAAS2,7,1.80e-04
SimRNAAS2,9,2.24e-04
3dRNAAS2,3,2.33e-04
Chen,2,3.71e-03
Chen,3,4.20e-03
Chen,6,9.75e-01
Chen,10,9.80e-01
Chen,8,9.81e-01
Chen,4,9.82e-01
Chen,9,9.91e-01
Chen,7,9.92e-01
Chen,5,9.92e-01
