Lab,Num,INF stacking
RNAComposerAS2,1,0.913
Szachniuk,1,0.913
Chen,1,0.936
RNAComposerAS1,3,0.870
RW3DAS1,6,0.839
RW3DAS2,8,0.813
RW3DAS2,7,0.839
RNAComposerAS2,4,0.889
Szachniuk,4,0.889
RW3DAS1,3,0.839
RNAComposerAS2,3,0.886
Szachniuk,3,0.886
RNAComposerAS2,7,0.913
Szachniuk,7,0.913
RW3DAS2,3,0.839
RNAComposerAS1,2,0.845
RNAComposerAS1,7,0.889
RNAComposerAS2,5,0.865
Szachniuk,5,0.865
RNAComposerAS2,2,0.889
Szachniuk,2,0.889
RNAComposerAS2,8,0.886
Szachniuk,8,0.886
RNAComposerAS1,8,0.813
RW3DAS2,4,0.813
RNAComposerAS1,4,0.865
RW3DAS2,2,0.765
RW3DAS1,2,0.765
RNAComposerAS1,10,0.800
RNAComposerAS2,6,0.910
Szachniuk,6,0.910
3dRNAAS2,10,0.934
RNAComposerAS1,5,0.894
RW3DAS1,8,0.839
RW3DAS1,1,0.870
RW3DAS1,9,0.865
RW3DAS2,1,0.865
3dRNAAS2,5,0.910
3dRNAAS2,6,0.910
3dRNAAS2,7,0.910
RW3DAS1,5,0.759
RW3DAS1,10,0.839
RW3DAS1,7,0.813
RW3DAS2,6,0.845
RW3DAS2,5,0.839
RW3DAS2,9,0.813
RW3DAS1,4,0.839
RNAComposerAS1,9,0.756
RNAComposerAS1,1,0.813
RW3DAS2,10,0.813
RNAComposerAS1,6,0.786
RNAComposerAS2,10,0.839
Szachniuk,10,0.839
RNAComposerAS2,9,0.813
Szachniuk,9,0.813
3dRNAAS2,9,0.865
Lee,3,0.622
Lee,8,0.639
Lee,6,0.622
SimRNAAS2,1,0.711
Lee,2,0.639
Lee,1,0.637
Lee,9,0.670
Lee,7,0.637
SimRNAAS1,1,0.637
Lee,4,0.683
SimRNAAS2,8,0.637
3dRNAAS2,2,0.886
SimRNAAS2,6,0.746
3dRNAAS2,1,0.782
3dRNAAS2,4,0.861
SimRNAAS2,2,0.783
SimRNAAS2,4,0.637
Lee,5,0.688
SimRNAAS1,3,0.667
Lee,10,0.590
3dRNAAS2,8,0.782
SimRNAAS1,2,0.688
SimRNAAS2,3,0.637
SimRNAAS2,5,0.670
SimRNAAS2,7,0.622
SimRNAAS2,9,0.639
3dRNAAS2,3,0.724
Chen,2,0.578
Chen,3,0.646
Chen,6,0.528
Chen,10,0.462
Chen,8,0.463
Chen,4,0.348
Chen,9,0.538
Chen,7,0.446
Chen,5,0.503
