Lab,Num,TM-score
RNAComposerAS2,1,0.5110
Szachniuk,1,0.5110
Chen,1,0.4770
RNAComposerAS1,3,0.4660
RW3DAS1,6,0.4170
RW3DAS2,8,0.3810
RW3DAS2,7,0.3200
RNAComposerAS2,4,0.4610
Szachniuk,4,0.4610
RW3DAS1,3,0.3100
RNAComposerAS2,3,0.4990
Szachniuk,3,0.4990
RNAComposerAS2,7,0.3370
Szachniuk,7,0.3370
RW3DAS2,3,0.3330
RNAComposerAS1,2,0.4750
RNAComposerAS1,7,0.4630
RNAComposerAS2,5,0.3140
Szachniuk,5,0.3140
RNAComposerAS2,2,0.3950
Szachniuk,2,0.3950
RNAComposerAS2,8,0.4180
Szachniuk,8,0.4180
RNAComposerAS1,8,0.3790
RW3DAS2,4,0.2740
RNAComposerAS1,4,0.3910
RW3DAS2,2,0.3090
RW3DAS1,2,0.2870
RNAComposerAS1,10,0.3060
RNAComposerAS2,6,0.4530
Szachniuk,6,0.4530
3dRNAAS2,10,0.3630
RNAComposerAS1,5,0.3680
RW3DAS1,8,0.2880
RW3DAS1,1,0.3640
RW3DAS1,9,0.2890
RW3DAS2,1,0.2610
3dRNAAS2,5,0.3630
3dRNAAS2,6,0.3630
3dRNAAS2,7,0.3630
RW3DAS1,5,0.2600
RW3DAS1,10,0.3580
RW3DAS1,7,0.2920
RW3DAS2,6,0.3300
RW3DAS2,5,0.3060
RW3DAS2,9,0.3040
RW3DAS1,4,0.2870
RNAComposerAS1,9,0.2790
RNAComposerAS1,1,0.3310
RW3DAS2,10,0.2450
RNAComposerAS1,6,0.4170
RNAComposerAS2,10,0.4270
Szachniuk,10,0.4270
RNAComposerAS2,9,0.2300
Szachniuk,9,0.2300
3dRNAAS2,9,0.3690
Lee,3,0.2330
Lee,8,0.2510
Lee,6,0.2460
SimRNAAS2,1,0.1570
Lee,2,0.2340
Lee,1,0.2470
Lee,9,0.2520
Lee,7,0.2430
SimRNAAS1,1,0.2090
Lee,4,0.2410
SimRNAAS2,8,0.1970
3dRNAAS2,2,0.3770
SimRNAAS2,6,0.1630
3dRNAAS2,1,0.3530
3dRNAAS2,4,0.3590
SimRNAAS2,2,0.2170
SimRNAAS2,4,0.1500
Lee,5,0.2600
SimRNAAS1,3,0.2300
Lee,10,0.2380
3dRNAAS2,8,0.3610
SimRNAAS1,2,0.2300
SimRNAAS2,3,0.2100
SimRNAAS2,5,0.2000
SimRNAAS2,7,0.1890
SimRNAAS2,9,0.1530
3dRNAAS2,3,0.3610
Chen,2,0.2210
Chen,3,0.2360
Chen,6,0.1190
Chen,10,0.1370
Chen,8,0.1360
Chen,4,0.1570
Chen,9,0.1340
Chen,7,0.1130
Chen,5,0.1610
